"nom" "longitude" "latitude" "colline" "gare" "porte" "mairie" "tourisme"
"19117" " EURYALE DEHAYNIN" 2.37738886313363 48.8863000510864 0 0 0 0 0
"17111" " LEMERCIER" 2.3175909298999 48.890020496141 0 0 0 0 0
"6103" " MEZIERES RENNES" 2.33044682027725 48.8502970102176 0 0 0 0 0
"15042" " FARMAN" 2.27139647246143 48.8337338301773 0 0 0 0 0
"12003" " QUAI DE LA RAPEE" 2.36689679377372 48.8458869463868 0 1 0 0 0
"13038" " CHOISY POINT D'IVRY" 2.36333471061476 48.8219079688117 0 0 1 0 0
"17041" " PORTE DE VILLIERS" 2.28766737081487 48.882877751786 0 0 1 0 0
"41203" " STALINGRAD (FONTENAY SOUS BOIS)" 2.45552917211114 48.8501252320561 0 0 0 0 0
"43401" " GARE RER (JOINVILLE)" 2.46402550470253 48.819954101228 0 1 0 0 0
"5015" " MOUFFETARD EPEE DE BOIS" 2.34998304702979 48.8415076373901 0 0 0 0 0
"20026" " PELLEPORT" 2.40097662354654 48.8679251540267 1 0 0 0 0
"12127" " TREMBLAY - INSEP" 2.45482 48.83397 0 0 0 0 0
"1014" " RIVOLI MUSEE DU LOUVRE" 2.33405760804708 48.8636722553657 0 0 0 0 1
"18108" " EVANGILE" 2.36869413984016 48.8950903297663 0 0 0 0 0
"18112" " HÔPITAL BICHAT" 2.33365337616283 48.8980143432137 0 0 0 0 1
"17045" " PLACE DES TERNES - 5" 2.29783106471363 48.8784103864828 0 0 0 0 1
"3010" " BEAUBOURG" 2.35423678141965 48.8624649804039 0 0 0 0 0
"20011" " PYRÉNÉES-DAGORNO" 2.40516852063917 48.8555013539889 0 0 0 0 0
"4020" " BEAUBOURG PLACE MICHELET" 2.3501483359202 48.8600883261048 0 0 0 0 1
"42504" " MALON (GENTILLY)" 2.34107065417259 48.8144401796238 0 0 0 0 0
"3001" " CHEMIN VERT BEAUMARCHAIS" 2.36783265929612 48.8580440569424 0 0 0 0 0
"4002" " MARCHE AUX FLEURS" 2.34735644764263 48.8552533608443 0 0 0 0 1
"8033" " SAINT PHILIPPE DU ROULE" 2.30972258893223 48.8727876808465 0 0 0 0 1
"17023" " AVENUE DE LA PORTE D'ASNIÈRES" 2.30345740868527 48.8905862155503 0 0 1 0 0
"17026" " WAGRAM COURCELLES" 2.30113837817673 48.8818571507446 0 0 0 0 0
"20131" " REPOS" 2.38961313668446 48.8593585235926 0 0 0 0 0
"6007" " VAVIN" 2.3297942217634 48.8427384782578 0 0 0 0 0
"3012" " GAITE LYRIQUE" 2.35366081624923 48.8674979894066 0 0 0 0 0
"18044" " CLICHY" 2.32880709819223 48.8841271080466 0 0 0 0 0
"8113" " PLACE ST AUGUSTIN" 2.31939514437732 48.874923109802 0 0 0 0 0
"14103" " MAINE LIANCOURT" 2.32373144997399 48.835064363954 0 0 0 0 0
"16105" " CREVAUX" 2.28114900769185 48.8708094286695 0 0 0 0 1
"15020" " MAIRIE DU 15EME" 2.29854929401185 48.8417096401611 0 0 0 1 0
"15106" " GRENELLE VIOLET (PROP3)" 2.29466057588438 48.8499211018621 0 0 0 0 1
"35010" " GERVAIS (PANTIN)" 2.40277551968633 48.8910789762746 0 0 0 0 0
"15044" " J DUPRE" 2.29600807608667 48.8302693902879 1 0 0 0 0
"21210" " PERI 2 (MONTROUGE)" 2.32403127829722 48.8178170939014 0 0 0 0 0
"15035" " PLACE ETIENNE PERNET" 2.2921735414417 48.8424587555045 0 0 0 0 0
"21502" " VERDUN (SURESNES)" 2.22747747677092 48.8710030415404 0 0 0 0 0
"31003" " PARIS (MONTREUIL)" 2.41877242975671 48.8549113323991 0 0 0 0 0
"10005" " CONSERVATOIRE" 2.34838875750478 48.8739721723737 0 0 0 0 0
"6016" " DANTON" 2.34144252246847 48.8523930093114 0 0 0 0 1
"19018" " CITÉ DE LA MUSIQUE" 2.39268612206715 48.8887860708258 0 0 0 0 0
"4011" " PLACE DU BATAILLON FRANCAIS DE L'ONU" 2.35709265436395 48.8538141453159 0 0 0 0 1
"31709" " MARCEL (BAGNOLET)" 2.42254995670978 48.8570503947438 0 0 0 0 0
