"code_epci","lib_epci","annee_inv","nox_kg","so2_kg","pm10_kg","pm25_kg","co_kg","c6h6_kg","nh3_kg","ges_teqco2","ch4_t","co2_t","n2o_t","TypeEPCI","nomdepart","Ardèche","Ariège","Aude","Aveyron","Gard","Haute-Garonne","Gers","Hérault","Landes","Lot","Lot-et-Garonne","Lozère","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Tarn","Tarn-et-Garonne","Vaucluse","latit","longit"
200006930,"CC du Haut Allier",2019,65633.659,3866.599,15728.868,10975.549,173194.298,2319.199,133686.181,43995.124,617.104,17831.589,17.114,"CC","Lozère","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",44.7324018015084,3.76926653214092
200017341,"CC Lodévois et Larzac",2019,310288.197,8083.028,50929.198,38591.713,593036.634,8349.081,114533.395,127777.47,436.445,93016.7,19.755,"CC","Hérault","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",43.7929109505339,3.37297691560182
200022986,"CC du Grand Pic Saint-Loup",2019,337655.546,9373.106,143623.667,82143.613,1275976.786,18806.497,71177.447,161136.843,251.623,125004.719,17.606,"CC","Hérault","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",43.7769237034619,3.79430633061808
200023620,"CC de la Gascogne Toulousaine",2019,298100.297,4091.852,126735.605,63331.875,780230.624,12250.43,244266.819,116802.181,275.749,79458.028,50.976,"CC","Gers,Haute-Garonne","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0",43.5914427438486,1.06675212654632
200023737,"CA du Grand Cahors",2019,447186.531,13650.148,143525.58,111854.306,1386798.244,21346.289,130426.816,216301.788,447.677,161747.972,24.64,"CA","Lot","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",44.4848029319676,1.44776095626208
200027183,"CU Perpignan Méditerranée Métropole",2019,2110865.514,57993.192,506888.154,353513.882,5270166.084,78510.229,111010.717,1057760.613,398.561,806673.968,59.76,"CU","Pyrénées-Orientales","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",42.7520038768651,2.85160369828303
200030435,"CC d'Aire-sur-l'Adour",2019,56108.027,686.596,63258.131,31002.889,159264.912,2607.942,111477.637,22542.219,99.323,11575.552,18.994,"CC","Gers,Landes","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",43.6857823387328,-0.294957278466315
200034023,"CC Tarn-Agout",2019,302466.033,7862.03,127237.497,74385.326,1040495.381,17046.976,266426.867,130175.782,442.573,77110.599,53.696,"CC","Haute-Garonne,Tarn","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",43.6876648132577,1.77201251838602
200034031,"CC des Monts d'Alban et du Villefranchois",2019,127036.836,3375.138,50755.389,32564.436,433868.812,7178.866,372114.55,97757.758,1821.513,24114.106,52.006,"CC","Tarn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",43.8734982026583,2.41457648112806
200034049,"CC Centre Tarn",2019,152001.921,4577.924,101630.135,64259.276,560019.769,9718.469,379812.249,99746.392,1519.082,30837.237,56.309,"CC","Tarn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",43.7824153503732,2.2521672718246
200034056,"CC du Lautrécois et du Pays d'Agout",2019,267599.546,5377.775,146110.138,74789.67,744749.804,12522.342,436079.278,110997.126,989.829,46903.97,80.029,"CC","Tarn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",43.6874332812217,2.05729818732461
200034064,"CC du Cordais et du Causse (4 C)",2019,87303.377,2212.336,49325.395,30209.471,350368.897,5948.547,193620.434,46077.756,560.221,15499.041,30.82,"CC","Tarn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",44.0909363667799,1.87894172682892
200034379,"CC Pays d'Uzès",2019,251095.279,7851.142,91638.444,58324.001,907389.515,13689.175,127854.48,117067.086,209.647,86871.641,26.29,"CC","Gard","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",44.0635577120379,4.38740483931475
200034411,"CC du Piémont Cévenol",2019,200350.334,6991.57,58249.945,46540.038,759717.837,11691.117,91372.041,98248.547,239.352,68629.912,18.703,"CC","Gard","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",43.9416513069618,3.95802409937074
200034601,"CC Causses Aigoual Cévennes",2019,72210.482,3676.651,25663.804,21008.171,346781.141,5781.037,66193.02,42248.997,333.371,23040.478,9.909,"CC","Gard","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",44.0928706882083,3.58155178581541
200034692,"CA du Gard Rhodanien",2019,720665.549,205702.182,174147.623,120741.093,1919317.57,28025.368,143885.973,516588.921,149.769,417412.479,35.568,"CA","Gard","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",44.1744876058848,4.5723471505011
200034726,"CC Bastides de Lomagne",2019,230709.111,6085.82,198567.596,69555.512,582436.356,9844.255,485179.151,86414.616,423.163,35064.945,91.591,"CC","Gers","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",43.7876019933951,0.868045691753418
200034957,"CC du Frontonnais",2019,465186.502,6356.214,140356.611,100733.156,1095420.17,16509.397,100741.416,173611.799,180.466,137810.061,24.805,"CC","Haute-Garonne","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",43.8061881161204,1.40727829855827
200035129,"CC de Cèze Cévennes",2019,146169.327,7892.373,50587.443,37675.085,616060.771,9777.654,75474.697,72965.103,140.585,53017.77,13.531,"CC","Ardèche,Gard","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",44.2632692140621,4.25266089570825
200035327,"CC Cazals-Salviac",2019,50845.926,4610.938,40064.851,28959.218,294042.8,5123.347,96005.561,35495.586,447.216,13187.341,13.263,"CC","Lot","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",44.636551728148,1.24750720785428
200035632,"CC Armagnac Adour",2019,146705.118,6429.974,139588.881,53084.802,392782.311,6324.615,310717.568,64530.869,398.889,30217.574,54.384,"CC","Gers","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",43.6687945152,-0.0261502627232253
200035707,"CC Piège Lauragais Malepère",2019,472550.086,5136.795,153834.75,60203.956,687458.51,8749.131,462237.305,159004.28,520.899,105924.543,90.846,"CC","Aude","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43.2069626849458,1.97023175745669
200035715,"CA Carcassonne Agglo",2019,1345527.546,25796.009,267311.278,184052.522,2922309.736,37688.078,333123.548,533518.875,285.953,444242.435,77.773,"CA","Aude","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43.2274807811858,2.4272083781289
200035756,"CC Astarac Arros en Gascogne",2019,183006.303,2649.728,144594.053,53379.999,525600.199,9318.228,442189.939,72364.131,510.931,27139.476,75.78,"CC","Gers","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",43.4374457866067,0.386231610694751
200035855,"CC Castelnaudary Lauragais Audois",2019,616990.316,11520.999,202430.158,78060.567,909539.124,11414.044,439490.827,257279.883,482.926,199230.005,88.415,"CC","Aude","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43.3274513729828,1.9152442364072
200035863,"CC Région Lézignanaise, Corbières et Minervois",2019,497964.886,8845.458,91097.128,69723.67,1142758.415,14509.098,157235.857,176266.03,218.222,138826.08,33.333,"CC","Aude","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43.0744028948909,2.66665342675004
200039519,"CC du Quercy Blanc",2019,128170.951,5405.676,60381.591,31838.319,407978.364,6800.297,287368.859,68391.044,767.282,26919.88,44.604,"CC","Lot","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",44.3281886783748,1.28388984891053
200040418,"CC du Pays de Serres en Quercy",2019,183279.391,3469.508,160678.442,72942.017,543512.539,9440.548,396463.515,74312.352,632.71,26079.157,73.491,"CC","Tarn-et-Garonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",44.2746025786341,1.07198829487543
