"Qualite" "Type" "AcidVol" "AcidCitr" "SO2lbr" "SO2tot" "Densite" "Alcool"
"1352" "medium" 1 0.62 0.01 8 46 0.99332 11.8
"5493" "medium" 0 0.34 0.1 17 63 0.9937 9.2
"5153" "medium" 0 0.22 0.22 39 110 0.99855 9
"5308" "medium" 0 0.35 0.46 61 183 0.99786 9
"3866" "medium" 0 0.42 0.32 20 167 0.99479 10.6
"694" "medium" 1 0.48 0.32 21 122 0.9984 9.4
"5085" "good" 0 0.21 0.32 39 113 0.99393 10.2
"2280" "medium" 0 0.28 0.14 64 159 0.992 10
"5231" "medium" 0 0.3 0.25 21 124 0.99362 10.8
"4388" "medium" 0 0.4 0.42 41 176 0.99552 9.4
"4172" "medium" 0 0.14 0.28 10 56 0.99352 9.9
"4763" "good" 0 0.36 0.37 39 114 0.99036 12.7
"4001" "bad" 0 0.16 0.49 18 107 0.99514 10.2
"3244" "good" 0 0.19 0.49 50 134 0.9998 9.1
"4663" "medium" 0 0.25 0.54 58 176 0.99454 10.4
"3256" "medium" 0 0.15 0.49 21 98 0.9929 9.2
"3444" "medium" 0 0.34 0.46 21 94 0.991 12.3
"3867" "medium" 0 0.19 0.43 53 154 0.99752 10.4
"3161" "medium" 0 0.28 0.49 10 112 0.9958 10.1
"6420" "medium" 0 0.36 0.5 63 178 0.99212 9.7
"1590" "medium" 1 0.725 0.2 29 79 0.9977 9.2
"2155" "good" 0 0.25 0.34 31 93 0.9916 11.3
"2258" "medium" 0 0.27 0.25 41 188 0.9915 11.3
"209" "medium" 1 0.44 0.28 18 95 0.9966 9.4
"4560" "good" 0 0.11 0.34 41 114 0.99634 11
"1981" "medium" 0 0.28 0.26 48 179 0.9975 9
"2166" "medium" 0 0.35 0.34 6 37 0.9944 11.5
"5430" "good" 0 0.26 0.23 23 111 0.99274 11.5
"6496" "good" 0 0.29 0.3 20 110 0.98869 12.8
"346" "medium" 1 0.685 0 40 63 0.9979 9.9
"1288" "medium" 1 0.6 0.08 3 7 0.99286 13
"3615" "medium" 0 0.19 0.39 22 84 0.994 10.8
"1837" "medium" 0 0.52 0.32 54 221 0.9972 9.6
"5637" "medium" 0 0.34 0.22 43 176 0.99286 9.9
"2520" "good" 0 0.11 0.32 59 144 0.9956 9.4
"3046" "medium" 0 0.27 0.49 35 92 0.9911 12.2
"2983" "medium" 0 0.36 0.56 25 102 0.9923 10.5
"840" "medium" 1 0.5 0.04 13 26 0.99647 10
"3185" "medium" 0 0.3 0.74 46 165 0.9982 8.7
"4690" "medium" 0 0.17 0.35 33 78 0.99146 11.3
"6347" "medium" 0 0.26 0.5 25 93 0.99428 10.5
"728" "medium" 1 0.57 0.02 4 11 0.997 9.5
"240" "medium" 1 1 0.09 7 37 0.99685 9
"6318" "medium" 0 0.24 0.15 32 134 0.99378 9.9
"2501" "medium" 0 0.29 0.29 26 113 0.9983 9.7
"3003" "good" 0 0.26 0.31 29 128 0.9937 10.9
"4537" "medium" 0 0.25 0.3 67 196 0.99555 10.1
"4799" "good" 0 0.21 0.4 40 121 0.99214 12
"141" "medium" 1 0.745 0.11 16 63 0.9965 9.6
"3664" "medium" 0 0.22 0.28 51 180 0.9952 9.5
"5167" "medium" 0 0.26 0.27 20 80 0.99089 11.5
"5291" "medium" 0 0.22 0.26 23 112 0.9931 11.4
"3383" "medium" 0 0.45 0.4 17 100 0.9957 10.1
"2712" "medium" 0 0.22 0.34 55 177 0.9983 9.9
"449" "medium" 1 0.53 0.22 7 27 0.9967 10.2
"214" "medium" 1 0.57 0.26 28 65 0.9959 10.1
"3216" "medium" 0 0.34 0.49 61 206 0.9957 9
"4917" "medium" 0 0.32 0.32 32 105 0.99266 11.2
"5005" "medium" 0 0.15 0.32 14 119 0.99137 10.2
"3501" "medium" 0 0.21 0.3 14 118 0.9942 10.4
"1291" "medium" 1 0.74 0 6 12 0.99521 11
"3137" "medium" 0 0.28 0.49 32 148 0.9936 10
"998" "good" 1 0.66 0 3 11 0.99378 12.8
"1350" "medium" 1 0.57 0 21 41 0.99518 10.8
"6336" "medium" 0 0.16 0.36 13 61 0.99143 10.8
"492" "good" 1 0.41 0.5 12 25 0.9952 13.3
"3901" "medium" 0 0.22 0.28 25 125 0.99856 9.4
"4878" "medium" 0 0.38 0.36 42 214 0.9976 9.4
"5343" "good" 0 0.15 0.28 29 149 0.99792 9
"5096" "good" 0 0.24 0.28 61 134 0.99146 11.3
