"Effectifs","Weight","Site","Conditions"
9,8.6,"GPWT","Dry"
4,13.1,"GPWT","Dry"
7,9.7,"GPWT","Dry"
9,10.3,"GPWT","Dry"
7,11.1,"GPWT","Dry"
12,7.9,"GPWT","Dry"
15,16.3,"GPWT","Dry"
4,8.9,"GPWT","Wet"
14,9.1,"GPWT","Wet"
9,12.2,"GPWT","Wet"
3,12.6,"GPWT","Dry"
15,12.9,"GPWT","Dry"
19,11.4,"GPWT","Wet"
3,13.9,"GPWT","Wet"
5,6.7,"GPWT","Wet"
10,9.4,"GPWT","Wet"
13,12.9,"GPWT","Wet"
19,10,"GPWT","Wet"
14,11.9,"GPWT","Wet"
9,9.2,"GPWT","Dry"
9,6.7,"GPWT","Dry"
13,11.5,"GPWT","Dry"
8,10.9,"GPWT","Wet"
5,11.8,"GPWT","Dry"
9,10.9,"GPWT","Wet"
5,11.6,"GPWT","Wet"
6,10.4,"GPWT","Wet"
7,11.9,"GPWT","Wet"
12,13.6,"GPWT","Dry"
4,11.1,"GPWT","Dry"
2,7.2,"GPWT","Wet"
11,9.4,"GPWT","Dry"
19,13.2,"GPWT","Wet"
5,11.6,"GPWT","Dry"
10,9.5,"GPWT","Dry"
8,7.7,"GPWT","Wet"
6,10.7,"GPWT","Wet"
9,11.2,"GPWT","Dry"
17,11.5,"GPWT","Wet"
7,12.2,"GPWT","Dry"
14,10.3,"GPWT","Wet"
3,8.6,"GPWT","Wet"
5,9.8,"GPWT","Dry"
5,17.8,"GPWT","Wet"
7,12.1,"GPWT","Wet"
18,14,"GPWT","Wet"
6,8.7,"GPWT","Wet"
17,11.9,"GPWT","Wet"
7,9.3,"GPWT","Wet"
6,8,"GPWT","Dry"
23,8.3,"FLWT","Wet"
16,10.8,"FLWT","Dry"
15,11.5,"FLWT","Dry"
25,14.5,"FLWT","Dry"
20,13.3,"FLWT","Wet"
14,10.8,"FLWT","Wet"
12,10.3,"FLWT","Dry"
19,12,"FLWT","Dry"
3,6.9,"FLWT","Wet"
17,7.9,"FLWT","Wet"
18,10.7,"FLWT","Dry"
13,9.4,"FLWT","Dry"
10,8.1,"FLWT","Wet"
18,8.8,"FLWT","Wet"
19,10.7,"FLWT","Wet"
15,8.8,"FLWT","Wet"
8,9.4,"FLWT","Dry"
20,8.1,"FLWT","Dry"
15,11.3,"FLWT","Dry"
11,6.2,"FLWT","Wet"
13,9.4,"FLWT","Dry"
23,12.4,"FLWT","Dry"
10,8.3,"FLWT","Wet"
28,10.2,"FLWT","Dry"
19,10.1,"FLWT","Dry"
14,8,"FLWT","Dry"
9,7.2,"FLWT","Wet"
10,10.1,"FLWT","Wet"
12,10.8,"FLWT","Wet"
21,9.7,"FLWT","Wet"
16,6.7,"FLWT","Wet"
20,9.9,"FLWT","Wet"
18,12.9,"FLWT","Dry"
20,12.4,"FLWT","Wet"
16,8.3,"FLWT","Wet"
15,6.7,"FLWT","Dry"
17,7.5,"FLWT","Dry"
21,12.2,"FLWT","Wet"
15,8.7,"FLWT","Dry"
12,8.3,"FLWT","Dry"
15,11.1,"FLWT","Dry"
8,6.7,"FLWT","Wet"
27,12.5,"FLWT","Dry"
20,11.2,"FLWT","Wet"
15,7.7,"FLWT","Wet"
14,10.4,"FLWT","Wet"
20,13,"FLWT","Dry"
8,8,"FLWT","Dry"
14,8.6,"FLWT","Wet"
6,9.4,"FLWT","Wet"
5,11.7,"FTWT","Wet"
7,8.2,"FTWT","Dry"
3,13.5,"FTWT","Wet"
5,8.6,"FTWT","Wet"
2,12.5,"FTWT","Wet"
8,9.2,"FTWT","Dry"
8,8,"FTWT","Dry"
4,7.7,"FTWT","Dry"
11,7.6,"FTWT","Dry"
5,9.7,"FTWT","Wet"
8,10.6,"FTWT","Dry"
2,12.4,"FTWT","Wet"
5,11.7,"FTWT","Wet"
4,10.7,"FTWT","Wet"
6,9,"FTWT","Dry"
9,9.9,"FTWT","Dry"
3,10.5,"FTWT","Wet"
8,9,"FTWT","Wet"
9,12.3,"FTWT","Wet"
3,11.4,"FTWT","Wet"
4,7.9,"FTWT","Dry"
8,8.1,"FTWT","Wet"
11,10.9,"FTWT","Dry"
9,13.4,"FTWT","Wet"
3,9.7,"FTWT","Dry"
11,10.6,"FTWT","Dry"
6,7.9,"FTWT","Dry"
4,10.7,"FTWT","Wet"
8,9.7,"FTWT","Dry"
3,8.4,"FTWT","Wet"
5,7.8,"FTWT","Dry"
13,12.2,"FTWT","Wet"
7,8.3,"FTWT","Wet"
9,9.2,"FTWT","Wet"
9,8.2,"FTWT","Dry"
8,9.5,"FTWT","Wet"
9,8.6,"FTWT","Wet"
13,8.4,"FTWT","Dry"
10,9.9,"FTWT","Wet"
15,13.5,"FTWT","Dry"
13,9.2,"FTWT","Wet"
10,9.1,"FTWT","Wet"
6,8.8,"FTWT","Dry"
14,11.9,"FTWT","Dry"
8,8.9,"FTWT","Wet"
13,12.6,"FTWT","Dry"
15,9.5,"FTWT","Dry"
8,8.4,"FTWT","Dry"
14,12.6,"FTWT","Dry"
6,11.1,"FTWT","Wet"
16,10.8,"INWT","Wet"
26,9.9,"INWT","Wet"
4,8.5,"INWT","Dry"
22,10.6,"INWT","Wet"
22,8.1,"INWT","Dry"
10,9.7,"INWT","Dry"
24,12,"INWT","Wet"
18,7.4,"INWT","Dry"
9,10.3,"INWT","Dry"
12,11,"INWT","Dry"
8,8.4,"INWT","Dry"
21,12.9,"INWT","Dry"
13,12.1,"INWT","Dry"
10,10.8,"INWT","Dry"
10,8.5,"INWT","Wet"
12,8.8,"INWT","Wet"
7,8.5,"INWT","Dry"
4,6.7,"INWT","Dry"
5,13.4,"INWT","Dry"
16,11.5,"INWT","Wet"
